clusters_kmeans	distance_clusters_kmeans	subgroup_clusters_kmeans	representation_clusters_kmeans	representation_clusters_kmeans_score	clusters_bisecting	distance_clusters_bisecting	subgroup_clusters_bisecting	representation_clusters_bisecting	representation_clusters_bisecting_score	clusters_estimated_bisecting	distance_clusters_estimated_bisecting	subgroup_clusters_estimated_bisecting	representation_clusters_estimated_bisecting	representation_clusters_estimated_bisecting_score	metadata.idx	metadata.json_data_kili_external_id	metadata.json_data_type	metadata.json_data_split	metadata.json_data_city	metadata.json_data_seq	metadata.json_data_frame	metadata.brightness	epoch	dataset_state	batch	metrics.CustomCELoss	metrics.loss	metrics.iou_class_road	metrics.iou_class_sidewalk	metrics.iou_class_building	metrics.iou_class_wall	metrics.iou_class_fence	metrics.iou_class_pole	metrics.iou_class_traffic light	metrics.iou_class_traffic sign	metrics.iou_class_vegetation	metrics.iou_class_terrain	metrics.iou_class_sky	metrics.iou_class_person	metrics.iou_class_rider	metrics.iou_class_car	metrics.iou_class_truck	metrics.iou_class_bus	metrics.iou_class_train	metrics.iou_class_motorcycle	metrics.iou_class_bicycle	metrics.iou	duplication_ids	tl_sample_selection	tl_sample_removal
6	6.4952273	0.0	1.0	0.4556446671485901	6	3.893729	3.0	1.0	0.42562004923820496	13	3.4696445	0.0	1.0	0.28654763102531433	361.0	strasbourg_000001_000113	leftImg8bit	train	strasbourg	000001	000113	0.3218583	0	training	0	0.12757328152656555	0.12757328152656555	0.9521239995956421	0.7622233629226685	0.7079045176506042	0.0	0.42111262679100037	0.13885724544525146	0.0	0.0002753322769422084	0.6486688256263733	0.5638102889060974	0.5651029348373413	0.005851294845342636	0.0	0.795596718788147	0.018273595720529556	0.0	0.0	0.0	0.07962504029273987	0.6546845436096191	-1	0.0	0.0
14	5.381014	6.0	1.0	0.1897759735584259	13	6.7919984	0.0	1.0	0.20890696346759796	26	5.6493177	2.0	1.0	1.0	377.0	strasbourg_000001_042309	leftImg8bit	train	strasbourg	000001	042309	0.3371999	0	training	0	0.19127926230430603	0.19127926230430603	0.9314525127410889	0.3420628309249878	0.8802685141563416	0.0	0.04561876133084297	0.046953778713941574	0.12628595530986786	0.09439446777105331	0.6367689967155457	0.01828664354979992	0.31922033429145813	0.16339410841464996	0.11352001875638962	0.6205477118492126	0.0	0.0	0.0	0.0	0.19540882110595703	0.6444258689880371	-1	0.0	0.0
3	9.722704	0.0	1.0	0.9851566553115845	33	9.518434	3.0	1.0	0.3524104058742523	65	8.229123	0.0	1.0	0.9373226761817932	124.0	aachen_000016_000019	leftImg8bit	train	aachen	000016	000019	0.26476505	0	training	0	0.10185021907091141	0.10185021907091141	0.959757924079895	0.7698087096214294	0.8708359003067017	0.0	0.0	0.10849159955978394	0.10234634578227997	0.12318705767393112	0.5551751255989075	0.0	0.6973884105682373	0.34967026114463806	0.004898314829915762	0.1824781596660614	0.0	0.006847030483186245	0.0	0.09241300821304321	0.4606188237667084	0.6416972279548645	-1	0.0	0.0
2	5.440311	9.0	1.0	0.16999800503253937	35	5.066883	3.0	0.0	0.19318461418151855	70	4.876144	0.0	1.0	1.0	68.0	aachen_000044_000019	leftImg8bit	train	aachen	000044	000019	0.24096307	0	training	0	0.23030412197113037	0.23030412197113037	0.946437656879425	0.3252451419830322	0.7077274322509766	0.17941001057624817	0.0	0.05248676612973213	0.01062347088009119	0.12768393754959106	0.8220982551574707	0.028377048671245575	0.27347540855407715	0.0	0.0	0.7422272562980652	0.0	0.0	0.0	0.0	0.0	0.6465365886688232	-1	0.0	0.0
9	11.490963	8.0	1.0	1.0	11	8.59301	0.0	1.0	1.0	23	6.909483	0.0	1.0	1.0	450.0	strasbourg_000001_052050	leftImg8bit	train	strasbourg	000001	052050	0.34360555	0	training	0	0.2249261438846588	0.2249261438846588	0.8929388523101807	0.7282390594482422	0.8793566226959229	0.0	0.0	0.02957027219235897	0.0	0.253233939409256	0.16292808949947357	0.003642444033175707	0.5748741626739502	0.36812353134155273	0.0	0.0	0.0	0.0	0.0	0.0	0.47157663106918335	0.6183985471725464	-1	0.0	0.0
16	10.89103	5.0	1.0	1.0	4	12.401421	3.0	1.0	1.0	8	8.592989	1.0	1.0	1.0	9.0	aachen_000048_000019	leftImg8bit	train	aachen	000048	000019	0.2531332	0	training	0	0.2843407094478607	0.2843407094478607	0.9197946786880493	0.7177841663360596	0.9288398027420044	0.0	0.0	0.15019463002681732	0.0	0.31550803780555725	0.6499860882759094	0.24074319005012512	0.3684433102607727	0.2632244825363159	0.0	0.3689444065093994	0.0	0.0	0.0	0.0	0.01564602553844452	0.5854542851448059	-1	0.0	0.0
2	10.817142	14.0	1.0	0.08292583376169205	22	10.443407	5.0	1.0	1.0	41	10.882849	0.0	1.0	1.0	194.0	zurich_000029_000019	leftImg8bit	train	zurich	000029	000019	0.2805832	0	training	0	0.08750827610492706	0.08750827610492706	0.977974534034729	0.6669111847877502	0.9018516540527344	0.0029875016771256924	0.0	0.05285092070698738	0.14511169493198395	0.10468826442956924	0.7191464900970459	0.018117835745215416	0.7067786455154419	0.00745679996907711	0.1429831087589264	0.5882916450500488	0.0	0.0	0.0	0.0	0.08793855458498001	0.703516960144043	-1	0.0	0.0
4	9.38194	4.0	1.0	1.0	9	9.3669	1.0	1.0	1.0	17	7.752394	0.0	1.0	1.0	394.0	strasbourg_000000_015131	leftImg8bit	train	strasbourg	000000	015131	0.3518186	0	training	0	0.04395713284611702	0.04395713284611702	0.9591066837310791	0.0161873921751976	0.9606146812438965	0.0	0.0	0.011895795352756977	0.0	0.20211930572986603	0.16585373878479004	0.0	0.0	0.02235555090010166	0.1090795174241066	0.7729136943817139	0.0	0.0	0.0	0.0	0.009467809461057186	0.6764540672302246	-1	0.0	0.0
16	9.122809	2.0	1.0	1.0	24	9.409605	1.0	1.0	1.0	47	7.721786	0.0	1.0	1.0	104.0	aachen_000161_000019	leftImg8bit	train	aachen	000161	000019	0.24263182	0	training	0	0.1382918357849121	0.1382918357849121	0.9638760089874268	0.5605077743530273	0.8900548815727234	0.0	0.0	0.07776258885860443	0.0	0.058029599487781525	0.4848974943161011	0.0	0.2798905074596405	0.2646651566028595	0.0	0.0	0.0	0.0	0.0	0.05251171067357063	0.0463559664785862	0.6445456147193909	-1	0.0	0.0
15	15.984312	8.0	1.0	1.0	35	16.028757	4.0	1.0	1.0	69	13.65523	0.0	1.0	1.0	155.0	aachen_000160_000019	leftImg8bit	train	aachen	000160	000019	0.18801779	0	training	0	0.11419413238763809	0.11419413238763809	0.9237301349639893	0.4163316786289215	0.4547542333602905	0.0	0.27000555396080017	0.030272873118519783	0.0	0.08591443300247192	0.8885613083839417	0.01467343419790268	0.19280223548412323	0.0017107671592384577	0.39443913102149963	0.4495789408683777	0.0	0.0	0.0	0.0	0.058468759059906006	0.6904621124267578	-1	0.0	0.0
